SNO,TranslatedRecipeName,Ingridients,Cuisine
1,MasalaKarela,"bittergourd,salt,onion,gramflour,turmericpowder,redchillipowder,cuminseeds,corianderpowder,amchur,sunfloweroil",Indian
2,SpicyTomatoRice,"rice,tomatoes,bcbellebhatpowder,salt,chickpealentils,cuminseeds,whiteuraddal,mustard,greenchillies,dryredchillies,cashew,oil,asafoetida",South Indian Recipes
3,RagiSemiyaUpma,"ricevermicellinoodles,onion,carrot,greenpeas,greenchillies,asafoetida,mustardseeds,whiteuraddal,ghee,curryleaves,salt,lemonjuice",South Indian Recipes
4,GonguraChickenCurry,"chicken,onion,tomatoes,greenchillies,ginger,cloves,garlic,turmericpowder,garammasalapowder,sesameoil,salt,methiseeds,corianderseeds,dryredchillies,fennelseeds,sesameoil,sorrelleaves",Andhra
5,AndhraStyleAlamPachadi,"chanadal,whiteuraddal,dryredchillies,corianderseeds,ginger,onion,tomatoes,salt,mustard,asafoetida,oil,curry",Andhra
6,PudinaKharaPongal,"rice,moongdal,mintleaves,coriander,greenchillies,ginger,cuminseeds,water,sunfloweroil,salt,ghee,cashewnuts,cuminseeds,blackpeppercorns,curryleaves,asafoetida",South Indian Recipes
7,UdupiStyleAshGourdCoconutCurry,"vellaipoosanikai,turmericpowder,salt,sunfloweroil,dryredchillies,coconut,tamarindwater,methiseeds,cuminseeds,corianderseeds,sesameseeds,jaggery,sunfloweroil,mustardseeds,curryleaves,dryredchillies",Udupi
8,MexicanStyleBlackBeanBurrito,"tortillas,blackbeans,spinachleaves,onion,tomatoes,garlic,coriander,rice,lemonjuice,oniongreen,cheddarcheese,hungcurd",Mexican
9,SpicyCrunchyMasalaIdli,"idli,greenbellpepper,tomatoes,onion,greenchillies,redchillipowder,turmericpowder,tomatoketchup,coriander,mintleaves,sunfloweroil,salt",South Indian Recipes
10,CauliflowerLeavesChutney,"cabbageleaves,tomatoes,tamarind,whiteuraddal,dryredchillies,salt,asafoetida,garlic,turmericpowder,oil,rye,cuminseeds,curryleaves",South Indian Recipes
